Iteration,AUC
1.0,0.6553057851239669
2.0,0.6628165289256197
3.0,0.6395371900826446
4.0,0.6833586776859504
5.0,0.6475570247933884
6.0,0.5885487603305785
7.0,0.6098644628099175
8.0,0.6045289256198347
9.0,0.6314909090909091
10.0,0.6371239669421488
11.0,0.6576
12.0,0.6212760330578512
13.0,0.6195768595041322
14.0,0.6661487603305785
15.0,0.6212760330578512
16.0,0.6484495867768595
17.0,0.6235173553719008
18.0,0.6350611570247934
19.0,0.5887603305785124
20.0,0.6411173553719008
21.0,0.6232661157024793
22.0,0.6395570247933884
23.0,0.6269157024793388
24.0,0.628006611570248
25.0,0.5884628099173553
26.0,0.5825123966942148
27.0,0.6472661157024795
28.0,0.5924760330578512
29.0,0.6107371900826446
30.0,0.6032727272727273
31.0,0.6093685950413222
32.0,0.6161785123966943
33.0,0.6153586776859504
34.0,0.632700826446281
35.0,0.6543206611570248
36.0,0.6342148760330579
37.0,0.6388165289256198
38.0,0.6617520661157025
39.0,0.5779900826446281
40.0,0.6201851239669421
41.0,0.6142942148760331
42.0,0.5847338842975206
43.0,0.5842578512396694
44.0,0.6124033057851241
45.0,0.6273785123966942
46.0,0.6822545454545454
47.0,0.6330115702479339
48.0,0.6633652892561983
49.0,0.6428958677685951
50.0,0.589395041322314
