Gamma,AUC
0.1,0.605878347
0.2,0.612412562
0.3,0.609184793
0.4,0.600558898
0.5,0.622444738
0.6,0.615721873
0.7,0.609579284
0.8,0.609586336
0.9,0.612672617
1,0.612991956
1.1,0.624894105
1.2,0.615636584
1.3,0.616937961
1.4,0.615569366
1.5,0.615179504
1.6,0.617959008
1.7,0.616816309
1.8,0.620220165
1.9,0.615339945
2,0.606418292
2.1,0.618764959
2.2,0.618522314
2.3,0.610954931
2.4,0.618203636
2.5,0.616405069
2.6,0.615402094
2.7,0.614609807
2.8,0.614104463
2.9,0.614924738
3,0.620075152
